"districtid","apr","aug","dec","feb","jan","jul","jun","mar","may","nov","oct","sep","year","states","stateid","district"
"512","65.799999999999997","343","0.59999999999999998","0","0","138","148.40000000000001","38.600000000000001","102.09999999999999","57","151.59999999999999","234.69999999999999","2006","ANDHRA PRADESH","2","VISHAKHAPATNAM"
"512","13","129.40000000000001","0","6.2999999999999998","0","81.400000000000006","337.89999999999998","1.7","66.099999999999994","4","227","263.5","2007","ANDHRA PRADESH","2","VISHAKHAPATNAM"
"512","16.100000000000001","174.5","0.10000000000000001","108.2","0.10000000000000001","131.69999999999999","81.799999999999997","88.200000000000003","56.5","17.600000000000001","48.100000000000001","183.90000000000001","2008","ANDHRA PRADESH","2","VISHAKHAPATNAM"
"513","80.900000000000006","86.299999999999997","0","24.899999999999999","80.400000000000006","267.5","187.80000000000001","9.3000000000000007","40.600000000000001","48.5","120.40000000000001","87.900000000000006","2004","ANDHRA PRADESH","2","VIZIANAGARAM"
"513","16.600000000000001","116.59999999999999","0.5","0","9.0999999999999996","114","151.30000000000001","14.800000000000001","46.200000000000003","142.5","378.39999999999998","346.5","2005","ANDHRA PRADESH","2","VIZIANAGARAM"
"513","58.700000000000003","374.10000000000002","0","0","0","195.59999999999999","191","52","89.5","46.399999999999999","45.799999999999997","220.30000000000001","2006","ANDHRA PRADESH","2","VIZIANAGARAM"
"513","29.300000000000001","150.40000000000001","0","0","0","49.100000000000001","379.5","4.0999999999999996","135.30000000000001","1.3","158.5","317.19999999999999","2007","ANDHRA PRADESH","2","VIZIANAGARAM"
"513","42.399999999999999","231.19999999999999","0","55.600000000000001","10.199999999999999","235.59999999999999","86.599999999999994","72.200000000000003","63.299999999999997","8.6999999999999993","22","241.5","2008","ANDHRA PRADESH","2","VIZIANAGARAM"
"514","34.100000000000001","222","0","12.199999999999999","27.5","292.10000000000002","78.400000000000006","0","45.5","2","96.099999999999994","124.8","2004","ANDHRA PRADESH","2","WARANGAL"
"514","3.7999999999999998","124.90000000000001","0","3.5","4.0999999999999996","372.60000000000002","157.80000000000001","2.5","18.699999999999999","0","128.80000000000001","235.09999999999999","2005","ANDHRA PRADESH","2","WARANGAL"
"514","30.699999999999999","379.69999999999999","0","0","0","156.40000000000001","91.799999999999997","80.200000000000003","14.300000000000001","57.799999999999997","25.100000000000001","393.80000000000001","2006","ANDHRA PRADESH","2","WARANGAL"
"514","21","249.40000000000001","0","8.8000000000000007","0","178.19999999999999","175.30000000000001","0","8.5999999999999996","11.800000000000001","58.399999999999999","318.69999999999999","2007","ANDHRA PRADESH","2","WARANGAL"
"514","38.299999999999997","491.39999999999998","0","32.200000000000003","0","210.40000000000001","190.09999999999999","136","10.800000000000001","2.3999999999999999","46.700000000000003","168.30000000000001","2008","ANDHRA PRADESH","2","WARANGAL"
"518","1.7","191.90000000000001","0","2.5","3.6000000000000001","172.40000000000001","105.3","0","64.400000000000006","3.8999999999999999","169.59999999999999","117.7","2004","ANDHRA PRADESH","2","WEST GODAVARI"
"518","0.5","143","1.7","0","1.5","167.80000000000001","126","0","91.400000000000006","33.899999999999999","283.30000000000001","363.5","2005","ANDHRA PRADESH","2","WEST GODAVARI"
"518","54.100000000000001","243.80000000000001","0","0","0","97.5","127.7","0.69999999999999996","38.299999999999997","27.199999999999999","242.90000000000001","260.5","2006","ANDHRA PRADESH","2","WEST GODAVARI"
"518","18.300000000000001","263.5","0.59999999999999998","28.600000000000001","0","170.69999999999999","220.59999999999999","0","20.399999999999999","15.699999999999999","181.5","219.09999999999999","2007","ANDHRA PRADESH","2","WEST GODAVARI"
"518","3.2000000000000002","384.10000000000002","0.10000000000000001","40.899999999999999","0","289.30000000000001","129.90000000000001","101.09999999999999","6.2000000000000002","113.5","43.399999999999999","122.40000000000001","2008","ANDHRA PRADESH","2","WEST GODAVARI"
"291","7.5999999999999996","169.40000000000001","2.2000000000000002","1.5","7.2000000000000002","280.89999999999998","251.30000000000001","1.8999999999999999","874","107.5","193.30000000000001","200","2004","LAKSHADWEEP","19","LAKSHADWEEP"
"291","37.100000000000001","102.40000000000001","27.300000000000001","11","17.600000000000001","381.89999999999998","248.80000000000001","0","92.700000000000003","218.09999999999999","164.19999999999999","277.89999999999998","2005","LAKSHADWEEP","19","LAKSHADWEEP"
"291","0.29999999999999999","150.69999999999999","10.800000000000001","0","23.100000000000001","172.59999999999999","286.5","44","411.30000000000001","158.69999999999999","119.2","318.19999999999999","2006","LAKSHADWEEP","19","LAKSHADWEEP"
"291","16.899999999999999","267.19999999999999","126.40000000000001","4.7000000000000002","9.8000000000000007","298.30000000000001","555.60000000000002","0","147.30000000000001","52.100000000000001","213.59999999999999","346","2007","LAKSHADWEEP","19","LAKSHADWEEP"
"291","15.699999999999999","206.5","130.09999999999999","19.899999999999999","5.5","364","254.5","120.40000000000001","180.40000000000001","67.5","253","108.90000000000001","2008","LAKSHADWEEP","19","LAKSHADWEEP"
"91","402.39999999999998","328.5","5.4000000000000004","18.600000000000001","40.399999999999999","611.89999999999998","449.80000000000001","123.8","308.39999999999998","3.7000000000000002","214.09999999999999","378.60000000000002","2004","ARUNACHAL PRADESH","3","CHANGLANG"
"91","209.5","355.69999999999999","6.4000000000000004","219.19999999999999","33.200000000000003","363.10000000000002","195.59999999999999","394.69999999999999","221.30000000000001","19.399999999999999","159.5","102.7","2005","ARUNACHAL PRADESH","3","CHANGLANG"
"91","229.40000000000001","157.59999999999999","14.5","136.40000000000001","17.100000000000001","282.10000000000002","224.19999999999999","60.299999999999997","203.30000000000001","52.5","66.599999999999994","216.69999999999999","2006","ARUNACHAL PRADESH","3","CHANGLANG"
"91","210.40000000000001","293.5","3","86","15.699999999999999","453.80000000000001","331.39999999999998","24.199999999999999","156.09999999999999","8.0999999999999996","27.199999999999999","311.39999999999998","2007","ARUNACHAL PRADESH","3","CHANGLANG"
"91","0","277.89999999999998","0","22","-101010101","432.80000000000001","322.89999999999998","44.799999999999997","0","0","82.200000000000003","115.90000000000001","2008","ARUNACHAL PRADESH","3","CHANGLANG"
"132","281.60000000000002","528.39999999999998","39.200000000000003","33.399999999999999","52.299999999999997","1467","387.30000000000001","403.39999999999998","432.39999999999998","0","408.19999999999999","438.19999999999999","2004","ARUNACHAL PRADESH","3","DIBANG VALLEY"
"132","341.80000000000001","404.10000000000002","4.7999999999999998","212.19999999999999","92.400000000000006","1184","326.80000000000001","421","177.19999999999999","43.399999999999999","200.80000000000001","485","2005","ARUNACHAL PRADESH","3","DIBANG VALLEY"
"132","-101010101","397.39999999999998","0","226.40000000000001","5.4000000000000004","571.39999999999998","-101010101","0","26.399999999999999","71.799999999999997","-101010101","337.39999999999998","2006","ARUNACHAL PRADESH","3","DIBANG VALLEY"
"132","537.39999999999998","0","4","0","23.199999999999999","-101010101","657.20000000000005","87","-101010101","0","151","791.39999999999998","2007","ARUNACHAL PRADESH","3","DIBANG VALLEY"
"132","0","1283.7","48","0","-101010101","-101010101","-101010101","-101010101","0","-101010101","-101010101","248.5","2008","ARUNACHAL PRADESH","3","DIBANG VALLEY"
"144","277.89999999999998","219.80000000000001","7.5","21","33.399999999999999","601.10000000000002","738.70000000000005","117.3","317.60000000000002","26.800000000000001","145.59999999999999","335.5","2004","ARUNACHAL PRADESH","3","EAST KAMENG"
"144","168.59999999999999","816.20000000000005","0","122.8","59.200000000000003","686.20000000000005","354.89999999999998","155.30000000000001","350.19999999999999","53.299999999999997","209","658.10000000000002","2005","ARUNACHAL PRADESH","3","EAST KAMENG"
"144","179.5","202.5","7.5999999999999996","104","2.2999999999999998","519.20000000000005","192.59999999999999","61.299999999999997","363.80000000000001","23.600000000000001","11.4","181.09999999999999","2006","ARUNACHAL PRADESH","3","EAST KAMENG"
"144","92.799999999999997","171","7.2000000000000002","70","12.4","308","340.60000000000002","9.3000000000000007","65.799999999999997","6.2000000000000002","50","227.40000000000001","2007","ARUNACHAL PRADESH","3","EAST KAMENG"
